Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 53.36      1.35     1.35   194027     0.01     0.01  modified_simplex_solver::make_solution_feasible::simplex_table_modifier(int, int, modified_simplex_solver::simplex_table*)
  9.88      1.60     0.25    19335     0.01     0.10  modified_simplex_solver::make_solution_feasible::pivot_element_finder(modified_simplex_solver::simplex_table*)
  7.91      1.80     0.20   197699     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, long, __gnu_cxx::__ops::_Iter_less_iter)
  4.74      1.92     0.12 22154962     0.00     0.00  float& std::vector<float, std::allocator<float> >::emplace_back<float>(float&&)
  4.35      2.03     0.11   342770     0.00     0.00  core_class::propagate(std::vector<float, std::allocator<float> >)
  3.95      2.13     0.10   195587     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__ops::_Iter_less_iter)
  3.16      2.21     0.08    14268     0.01     0.15  modified_simplex_solver::start_solver(converted_data_pack*)
  1.58      2.25     0.04    10352     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  1.19      2.28     0.03    10352     0.00     0.01  genetic_algorithm::get_random_number(int, int)
  0.79      2.30     0.02   242445     0.00     0.00  void std::vector<modified_simplex_solver::id, std::allocator<modified_simplex_solver::id> >::_M_realloc_insert<modified_simplex_solver::id const&>(__gnu_cxx::__normal_iterator<modified_simplex_solver::id*, std::vector<modified_simplex_solver::id, std::allocator<modified_simplex_solver::id> > >, modified_simplex_solver::id const&)
  0.79      2.32     0.02   201511     0.00     0.00  modified_simplex_solver::make_solution_feasible::termination_condition_checker(modified_simplex_solver::simplex_table*)
  0.79      2.34     0.02   162349     0.00     0.00  segment_class::propagate(std::vector<float, std::allocator<float> >)
  0.79      2.36     0.02     1071     0.02     0.02  segment_class::split_attributes_for_each_core()
  0.79      2.38     0.02                             core_class::train_core()
  0.40      2.39     0.01  1023785     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_realloc_insert<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&)
  0.40      2.40     0.01   962839     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::push_back(std::vector<float, std::allocator<float> > const&)
  0.40      2.41     0.01   368247     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_realloc_insert<std::vector<float, std::allocator<float> > const&>(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, std::vector<float, std::allocator<float> > const&)
