FILE_NAME:,
name=,core-2220220628043754.csv,
BASIC_SAVEFILE_INFO:,
,core_save_id,core_aim,core_no,year,month,day,hour,minute,sec,
core_save_id,2220220628043754,2,2,2022,06,28,04,37,54,
BASIC_NETWORK_INFO:,net_info_category,no_of_input_neuron,no_of_output_neuron,
,net_info_category,27,2,
DATA_LABEL_AND_OUTPUT_NEURON_INDEX:,
[data_label~output_neuron_index],100~0,200~1,
PATH_INFO:,
no_of_path=,159,
path_id,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,input_neuron_id,output_neuron_id
0,10.6029,17.7707,66.6246,-28.6981,-18.6537,16.1071,27.7975,4.57763,45.3937,-22.8455,-52.2768,-46.6724,-70.6118,27.0267,3.86989,-81.7617,53.8305,12.5462,35.0648,62.2751,-32.8492,59.695,-24.1422,-33.6912,-60.4804,-6.55044,-21.8006,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
1,-0.741293,0.196287,-1.93232,-2.33389,1.88031,0.930458,-0.375334,2.95912,0.21449,-0.108172,-1.67306,0.0550503,10.8769,-7.67643,1.3005,5.31727,0.476166,-2.29494,3.09435,-0.790855,-0.227658,-11.5089,0.467172,-1.30826,2.76372,-0.999706,1.57291,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
2,-0.831092,-0.28327,0.354489,-1.63173,1.69849,-0.190239,-1.90429,-1.11443,-1.74482,-1.01643,-2.71844,-1.83277,4.15974,0.967755,-1.72023,-3.7881,1.18485,1.66073,2.26873,0.90361,-0.655931,-6.87455,1.79073,1.83603,-0.398434,-3.75768,-1.03662,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
3,1.09627,-1.85339,1.3248,0.670617,0.779933,-3.13048,-0.877873,0.186823,0.212516,-0.644463,-0.890906,-1.40556,4.35235,-0.0267784,-1.64348,-0.490196,0.470378,0.512528,0.346642,0.0928945,-0.196278,-1.26718,-0.912863,-1.90791,-1.11921,-0.313512,-0.327601,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
4,-0.60666,4.96204,11.1054,-9.85734,1.05641,0.995977,-5.9104,-2.6526,2.51594,-1.89381,-1.47063,-5.72913,-22.416,5.21197,-1.18094,-19.3853,36.6335,-7.13445,-2.1303,8.18917,-0.647352,13.2247,2.15458,-7.93516,-7.11741,5.92489,1.43537,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
5,0.0123515,0.929232,0.0811272,-1.14058,-0.777982,0.639271,-1.19166,0.0076251,-0.705912,-0.413282,0.225894,-1.16209,-1.02224,-2.71944,0.470339,2.70981,1.2638,-1.00353,-0.242687,1.60142,-0.0301496,0.185828,-0.0544921,-0.533896,-0.820119,0.168364,0.632819,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
6,-6.47029,-6.2751,12.6378,-10.6395,-9.04653,-14.2043,-20.8811,-13.885,15.6212,11.6334,8.16963,-21.996,-1.70814,-52.9606,-15.1769,44.2773,2.32401,38.3616,9.63404,16.0405,6.36529,-4.94327,2.76862,-22.0625,-37.1534,11.214,9.84998,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
7,-0.0865312,-0.184171,-0.810651,0.533277,0.0740626,-1.02315,-0.115702,0.412843,1.87667,0.302276,-0.480258,-0.787318,0.124591,-0.985326,-0.230114,1.35317,-0.561142,-0.450888,0.0563014,-0.234764,-0.5187,-0.164184,0.100501,0,0,0,0,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
8,-3.00702,0.537796,-0.731987,-0.727372,0.838274,2.41144,-0.285259,1.90325,1.94745,0.264806,2.57769,-0.325248,-8.28531,2.0145,2.37559,-7.30471,3.78803,-3.52142,3.27164,-3.5122,1.56644,3.26454,-2.2889,0.0616627,0.94599,-4.20703,3.49828,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
9,-0.698211,5.39051,-2.13691,-0.436566,-0.893025,6.48145,4.44202,1.19596,5.78757,-0.920451,-1.64821,-5.12431,-3.79636,-3.73003,1.30349,2.17409,3.3707,-0.121145,-9.16538,1.73933,5.33455,-8.11949,8.96808,4.58259,0.112758,-0.285929,-3.50767,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],0,
10,-0.348714,0.269244,0.588209,-0.584419,-0.46736,-0.31617,0.560284,0.0182347,0.329127,0.107127,-0.0119497,-1.23627,0.43632,-1.17281,0.0686987,1.20771,-0.0799802,0.622609,0.418638,-1.86689,-0.196416,-0.273663,-1.37725,0.380836,1.13971,-0.323915,-0.270221,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|],1,
