FILE_NAME:,
name=,core-5520220628043754.csv,
BASIC_SAVEFILE_INFO:,
,core_save_id,core_aim,core_no,year,month,day,hour,minute,sec,
core_save_id,5520220628043754,5,5,2022,06,28,04,37,54,
BASIC_NETWORK_INFO:,net_info_category,no_of_input_neuron,no_of_output_neuron,
,net_info_category,31,2,
DATA_LABEL_AND_OUTPUT_NEURON_INDEX:,
[data_label~output_neuron_index],100~0,200~1,
PATH_INFO:,
no_of_path=,140,
path_id,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,input_neuron_id,output_neuron_id
0,33.2849,-64.0026,-14.4323,24.36,13.759,-9.3224,15.7809,6.46642,-37.9734,-19.6462,2.3061,-34.9706,-210.446,123.567,75.1527,45.891,-52.0352,-24.7005,-88.1305,11.8214,28.4928,-3.50729,3.21909,2.32624,38.4262,-54.3386,8.34407,-313.745,4.31155,-316.338,-26.1495,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
1,37.7504,0.0500607,-37.129,4.60465,-41.0518,20.9989,34.1608,-23.6121,-13.209,11.1065,-8.46669,24.9586,-130.732,62.5365,18.2794,5.72198,-11.1572,-41.7804,-46.6774,-19.3428,20.7706,-13.3059,9.90518,-4.66757,33.177,-2.42769,-29.1659,1.18752,-39.9928,12.2872,-2.66134,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
2,-37.3482,21.04,-5.76643,35.5547,-67.7167,83.6841,177.547,-1.29485,-62.3116,-124.378,-5.84102,-69.7224,-30.4038,108.422,-159.919,97.2135,-95.8594,2.47608,-144.412,-33.5476,84.5277,4.38646,-1.20351,-9.3301,69.7162,-32.5299,-10.5512,-123.116,96.1425,-53.9109,-22.4244,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
3,-3.65631,-3.54183,-1.33637,1.1909,-1.51227,0.302484,2.57961,-12.6526,15.0321,-0.833218,-16.1383,17.084,-3.34238,3.50393,3.08415,-0.522085,-2.46063,0.111782,-0.752756,-1.1881,1.31038,-0.490581,0.0415061,0.471825,-0.443955,1.55696,-2.65883,2.17435,-4.44348,1.75963,0.951947,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
4,-1.29522,0.135871,0.33755,0.680091,-0.393784,0.862447,0.438996,-2.69209,2.65228,-2.66384,-0.200207,-0.349533,0.48945,0.707463,-0.592781,-0.921329,-0.14565,0.646384,-2.80584,-0.117884,2.34581,-0.00417996,0.0299558,0.00979746,0.328857,0.286477,-1.10329,-1.276,-1.7263,0.751336,-0.381799,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
5,3.66695,-11.5069,1.69653,-3.19962,1.81996,-4.53786,8.66372,-9.82447,9.29245,42.3105,-6.90577,29.1073,-10.7065,3.00225,9.42797,25.0672,-7.40366,-2.50222,-5.96726,-4.42095,4.55937,3.17314,-0.792045,1.68691,4.87673,16.2181,-0.413954,217.252,11.6061,172.012,-33.1633,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
6,-2.0273,-0.782511,0.942721,-1.27631,1.17702,-0.367845,0.810968,-5.62159,5.29332,-2.35569,-3.46468,4.1661,0.35882,-0.0460843,2.46685,1.98343,1.34993,-1.75837,0.00984527,0.0426071,-0.021778,0.356245,0.251777,0.0652135,-0.0238586,0.021222,0.0006723,1.18793,0.113046,0.659287,-0.346076,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
7,-274.807,4.83704,176.658,35.0426,1.66287,-41.9563,-215.81,-254.396,304.858,-33.9772,27.1777,-75.6848,650.732,-524.966,80.9431,130.74,129.695,-179.369,21.2695,-80.1979,76.2242,169.849,-9.6457,-8.48479,-14.8749,-28.6071,101.127,746.494,65.4794,654.334,-116.112,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
8,-3.40211,-52.0741,85.044,-98.724,62.713,-53.2526,5.93752,-32.2659,127.462,115.779,-672.293,271.933,-71.4103,78.7816,14.817,168.204,128.43,-115.141,62.5347,-25.0128,-31.0387,39.6325,1.87792,5.79059,37.2694,17.9065,47.142,474.436,219.99,411.415,-51.6632,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
9,-10.6956,2.80816,-1.86662,2.70866,-1.37663,-0.231607,-1.76669,-5.52996,9.56146,-9.42226,11.5199,4.14882,2.53198,0.125785,1.02109,-0.527424,-4.18084,1.7188,-0.050578,-0.408338,-0.000718281,3.45307,0.819691,-0.00143078,-0.0238159,0.0752475,0.0507929,6.168,-3.10514,1.53873,-0.816211,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
10,-21.673,40.6713,10.821,92.1716,-88.0888,13.3548,5.14568,-60.8425,-42.7155,-152.195,364.484,22.6367,116.001,-141.835,-21.0003,81.2741,-22.0054,-82.4629,-1.81036,0.363159,6.44397,-28.5999,20.4343,3.17393,-21.4809,31.1309,-23.0902,45.7059,121.58,-22.9528,18.6038,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
11,1.31683,2.10855,-0.834809,-0.754717,1.00218,-0.722088,0.355776,1.6226,-2.62458,-0.734077,0.143353,0.792578,-0.161135,-0.104675,-0.956291,-0.292613,-0.450152,0.883173,0.0117357,0.0193804,0.00121263,0.149037,-0.0626366,-0.242115,0.00844867,-0.00336986,-0.0135464,-0.196164,-0.266639,0.375002,-0.183814,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
12,-18.4272,2.49757,7.67843,-0.579891,-0.848791,2.95126,2.74043,6.81996,-7.81264,5.4143,1.50222,-41.9171,29.6068,-23.8607,-2.94187,-9.77544,-3.32564,11.4747,0.706664,5.60503,1.50985,-0.196362,1.34221,1.63355,-4.51169,-3.21785,-9.2087,-11.4546,22.5316,-9.95786,-17.9269,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],0,
13,10.8495,-1.21312,-1.94701,-3.22323,1.4563,1.78124,-11.1122,10.582,5.64037,-3.06944,-1.36847,1.36104,-4.80665,11.9094,-0.548409,1.76666,-1.18885,-2.5498,-1.75087,-1.9395,1.18696,0.52768,0.0136625,-0.00477738,2.15354,0.256195,1.58357,2.2558,5.98369,-1.49586,3.29763,[|0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|],1,
